CODE,REPORT_MONTH,CURRENT_BULLETINS_SENT,REPROC_BULLETINS_SENT,BULLETIN_DIFFERENCE,CURRENT_BULLETIN_RCPT,REPROC_BULLETIN_RCPT,BULLETIN_RCPT_DIFFERENCE
AKDHSS,JAN 2013,73,76,3,38173,38908,735
CAACE,FEB 2013,15,17,2,5963,5965,2
CAACE,MAR 2013,22,24,2,15317,15319,2
CACARLS,FEB 2013,18,20,2,14066,15383,1317
CACCTRAN,JAN 2013,67,69,2,36999,37969,970
CACCTRAN,FEB 2013,23,26,3,11434,12931,1497
CACCTRAN,MAR 2013,42,46,4,21852,23852,2000
CACULVER,FEB 2013,29,32,3,50654,54247,3593
CAELDOR,FEB 2013,83,85,2,63893,65098,1205
CAELKGR,FEB 2013,89,92,3,37821,38712,891
CAFAIRF,MAR 2013,17,20,3,7461,8594,1133
CAFULLERTON,MAR 2013,86,90,4,8718,9577,859
CAGOLDEN,MAR 2013,19,21,2,56647,61245,4598
CAGOLDEN,NOV 2013,18,20,2,41040,46939,5899
CAMENLO,FEB 2013,91,95,4,33250,34662,1412
CAMENLO,MAR 2013,99,103,4,39765,41320,1555
CAMENLO,NOV 2013,77,80,3,38365,39953,1588
CAOAKL,JUN 2013,88,90,2,46342,47314,972
CAPINOLE,JAN 2013,34,36,2,2779,2980,201
CAPINOLE,FEB 2013,38,40,2,3554,3656,102
CAPOAK,FEB 2013,61,63,2,27785,28361,576
CAPOAK,JUN 2013,90,92,2,34020,34600,580
CARIVERSIDE,MAY 2013,106,113,7,1479699,1485493,5794
CARIVERSIDE,AUG 2013,99,101,2,1476165,1610516,134351
CARIVSHERIFF,FEB 2013,209,212,3,336812,342047,5235
CARIVSHERIFF,MAR 2013,253,255,2,384393,387905,3512
CARIVSHERIFF,MAY 2013,291,296,5,441025,450091,9066
CARIVSHERIFF,JUN 2013,294,297,3,436588,441639,5051
CASACRA,JUL 2013,27,29,2,42899,45738,2839
CASAND,MAY 2013,205,207,2,394211,398777,4566
CASAND,JUN 2013,159,164,5,258499,270489,11990
CASANTA,MAR 2013,41,45,4,42149,43474,1325
CASANTA,NOV 2013,24,26,2,39069,40112,1043
CASFMTA,OCT 2013,292,296,4,1051,1067,16
CASFMTA,NOV 2013,552,556,4,13303,13315,12
CASMATEO,NOV 2013,45,48,3,20506,21426,920
CASONOMA,FEB 2013,94,97,3,94163,97062,2899
CASONOMA,MAR 2013,115,117,2,116858,119183,2325
CASONOMA,AUG 2013,98,100,2,120771,127647,6876
CASONOMA,NOV 2013,98,102,4,128437,136284,7847
CASRAMON,MAR 2013,92,94,2,185349,185671,322
CASRAMON,JUN 2013,99,101,2,261342,261682,340
CASRAMON,NOV 2013,91,94,3,218528,219474,946
CATRANBART,FEB 2013,198,201,3,741729,772801,31072
CATRANBART,MAR 2013,249,253,4,833800,839364,5564
CATRANBART,JUL 2013,233,240,7,1311458,1356437,44979
CATRANBART,SEP 2013,250,252,2,1598664,1603409,4745
CATRANBART,OCT 2013,252,254,2,2308425,2313091,4666
CATRANBART,DEC 2013,209,214,5,1284117,1298055,13938
CAVTA,FEB 2013,37,40,3,21374,23186,1812
CNKELOWNA,FEB 2013,76,79,3,83979,85336,1357
CNKELOWNA,MAR 2013,81,83,2,88737,89835,1098
COAURORA,JAN 2013,103,107,4,17633,18094,461
COAURORA,FEB 2013,99,102,3,14985,15671,686
COAURORA,MAR 2013,191,199,8,14997,21194,6197
CODOT,FEB 2013,703,706,3,1756259,1761615,5356
CODOT,MAR 2013,855,872,17,2131272,2173312,42040
CODOT,JUN 2013,471,478,7,1652506,1694486,41980
CODOT,JUL 2013,579,581,2,2017683,2023302,5619
CODOT,AUG 2013,700,703,3,2153282,2173792,20510
CODOT,OCT 2013,710,713,3,1809227,1817045,7818
CODOT,NOV 2013,732,736,4,1881196,1887740,6544
CODOT,DEC 2013,645,648,3,1873232,1891745,18513
COTRANRTD,AUG 2013,206,208,2,221452,222559,1107
DCWASH,MAR 2013,101,103,2,587589,587894,305
EUEPDA,FEB 2013,1229,1233,4,7030,7036,6
EUEPDA,MAR 2013,1449,1453,4,9897,9911,14
EUEPDA,MAY 2013,1479,1481,2,19201,19216,15
EUEPDA,AUG 2013,481,483,2,7270,7284,14
EUEPDA,OCT 2013,1901,1905,4,38236,38287,51
EUEPDA,NOV 2013,1538,1540,2,33247,33272,25
EUEPDE,FEB 2013,1291,1299,8,95086,95636,550
EUEPEL,MAR 2013,1445,1447,2,63394,63461,67
EUEPEN,JAN 2013,946,948,2,307279,307490,211
EUEPEN,FEB 2013,768,778,10,347934,350870,2936
EUEPEN,MAR 2013,872,877,5,487094,489144,2050
EUEPEN,APR 2013,785,787,2,509579,510038,459
EUEPEN,MAY 2013,915,918,3,665861,667487,1626
EUEPEN,JUN 2013,853,858,5,679263,682267,3004
EUEPEN,JUL 2013,757,760,3,617932,620562,2630
EUEPEN,AUG 2013,301,305,4,242848,244709,1861
EUEPEN,SEP 2013,947,949,2,749681,750455,774
EUEPEN,OCT 2013,1339,1347,8,1208345,1215094,6749
EUEPEN,NOV 2013,1174,1180,6,1193743,1198355,4612
EUEPES,MAR 2013,1485,1487,2,75308,75373,65
EUEPET,JAN 2013,1573,1575,2,1709,1711,2
EUEPET,FEB 2013,1244,1248,4,1410,1414,4
EUEPET,MAR 2013,1434,1439,5,1674,1679,5
EUEPET,APR 2013,1254,1256,2,1473,1475,2
EUEPET,MAY 2013,1524,1526,2,2134,2136,2
EUEPET,JUN 2013,1414,1416,2,2183,2185,2
EUEPET,JUL 2013,1125,1128,3,1829,1835,6
EUEPET,AUG 2013,471,474,3,928,931,3
EUEPET,SEP 2013,1435,1437,2,3373,3375,2
EUEPET,OCT 2013,1876,1880,4,4918,4923,5
EUEPET,NOV 2013,1544,1546,2,5232,5234,2
EUEPET,DEC 2013,1293,1295,2,4238,4240,2
EUEPFI,JAN 2013,1570,1572,2,8422,8427,5
EUEPFI,FEB 2013,1271,1275,4,6916,6925,9
EUEPFI,MAR 2013,1470,1474,4,9872,9890,18
EUEPFI,NOV 2013,1565,1567,2,29352,29368,16
EUEPFI,DEC 2013,1293,1295,2,22140,22158,18
EUEPHR,AUG 2013,334,339,5,2645,2684,39
EUEPHR,OCT 2013,1215,1221,6,17855,17937,82
EUEPHR,NOV 2013,1055,1059,4,16837,16893,56
EUEPHU,FEB 2013,1262,1269,7,15021,15096,75
EUEPLT,FEB 2013,1273,1281,8,5889,5927,38
EUEPNL,FEB 2013,1278,1286,8,26760,26919,159
EUEPNL,MAR 2013,1458,1463,5,37896,37949,53
EUEPNL,APR 2013,1302,1304,2,42253,42273,20
EUEPNL,MAY 2013,1515,1517,2,55752,55778,26
EUEPNL,JUN 2013,1466,1468,2,58723,58758,35
EUEPNL,JUL 2013,1241,1243,2,53144,53289,145
EUEPNL,AUG 2013,491,494,3,22798,22850,52
EUEPNL,SEP 2013,1489,1491,2,78441,78483,42
EUEPNL,OCT 2013,1936,1940,4,130180,130318,138
EUEPNL,DEC 2013,1312,1314,2,89695,89759,64
EUEPPL,MAR 2013,1460,1462,2,33092,33122,30
EUEPSV,JAN 2013,1578,1580,2,9989,9994,5
EUEPSV,FEB 2013,1264,1276,12,13127,13210,83
EUEPSV,MAR 2013,1461,1465,4,16252,16276,24
EUEPSV,JUL 2013,1205,1207,2,16778,16829,51
EUEPSV,AUG 2013,477,479,2,6512,6524,12
EUEPSV,OCT 2013,1938,1942,4,40306,40349,43
EUEPSV,NOV 2013,1560,1563,3,34780,34807,27
GOVLOOP,FEB 2013,334,340,6,2160,2199,39
IASCOTT,OCT 2013,30,33,3,9487,9499,12
IDFISHGAME,JUN 2013,31,35,4,150721,163591,12870
ILCTA,FEB 2013,207,209,2,78094,78588,494
ILCTA,MAR 2013,194,196,2,86158,88752,2594
ILCTA,MAY 2013,227,229,2,107493,107841,348
ILCTA,JUN 2013,187,192,5,92504,94966,2462
ILCTA,JUL 2013,149,153,4,73698,76073,2375
ILCTA,SEP 2013,181,183,2,88802,89362,560
INSTATE,JAN 2013,535,579,44,1560012,1563045,3033
INSTATE,AUG 2013,651,655,4,1615071,1637719,22648
INTRANNICTD,JUL 2013,123,127,4,3384,3508,124
INTRANNICTD,AUG 2013,58,61,3,2669,2747,78
MABROOK,JAN 2013,159,161,2,56681,57185,504
MABROOK,OCT 2013,163,165,2,56745,57150,405
MABTA,JUL 2013,5563,5572,9,2335749,2342699,6950
MABTA,AUG 2013,5026,5047,21,2175412,2178956,3544
MABTA,SEP 2013,4003,4006,3,1649843,1655242,5399
MABTA,OCT 2013,3872,3883,11,1685684,1702798,17114
MABTA,NOV 2013,3590,3605,15,2089584,2093706,4122
MABTA,DEC 2013,4622,4634,12,1918086,1930063,11977
MDBALT,FEB 2013,105,107,2,152718,156924,4206
MEBABLO,JAN 2013,174,177,3,569941,574205,4264
MEBABLO,FEB 2013,157,160,3,519731,524109,4378
MEBABLO,MAR 2013,175,178,3,557949,562395,4446
MEBABLO,AUG 2013,184,187,3,550467,572331,21864
MEBABLO,SEP 2013,175,178,3,495900,517897,21997
MEBABLO,DEC 2013,183,188,5,575939,599971,24032
MEDOT,MAR 2013,376,378,2,122680,123238,558
MEDOT,APR 2013,479,485,6,146633,148556,1923
MEDOT,JUN 2013,557,563,6,164670,166178,1508
MEDOT,JUL 2013,697,705,8,223689,226118,2429
MEDOT,AUG 2013,635,638,3,198232,199842,1610
MEDOT,OCT 2013,359,365,6,120444,122814,2370
MEMEMA,JAN 2013,863,869,6,564540,567058,2518
MEMEMA,FEB 2013,796,807,11,504564,513814,9250
MEMEMA,MAR 2013,402,415,13,224812,231108,6296
MEMEMA,JUN 2013,909,913,4,847557,850307,2750
MEMEMA,JUL 2013,916,924,8,900983,910006,9023
MEMEMA,SEP 2013,712,717,5,632761,636607,3846
MEMEMA,NOV 2013,490,494,4,314346,318545,4199
MIDOT,OCT 2013,392,394,2,388280,389823,1543
MNsure,MAR 2013,4,6,2,5433,7337,1904
NCRALEIGH,FEB 2013,219,222,3,249245,250619,1374
NDDOT,FEB 2013,3479,3482,3,26363,26380,17
NDDOT,DEC 2013,4749,4756,7,376569,377411,842
NEDOR,JUN 2013,101,103,2,33131,33900,769
NVRTC,JAN 2013,176,178,2,225183,228011,2828
NVRTC,FEB 2013,172,174,2,230060,232878,2818
NVRTC,MAR 2013,259,265,6,235288,242675,7387
NVRTC,AUG 2013,176,178,2,234600,237410,2810
NVRTC,DEC 2013,158,160,2,194822,197544,2722
NVRTCWASHOE,AUG 2013,74,89,15,9039,10603,1564
OKSDE,MAY 2013,45,47,2,615840,615842,2
OLCC,JAN 2013,29,31,2,15902,17807,1905
ORDCBS,FEB 2013,52,54,2,96356,98475,2119
ORDEQ,MAR 2013,83,86,3,151455,163311,11856
ORDHS,JAN 2013,113,115,2,342740,349590,6850
ORDHS,MAR 2013,97,101,4,212212,220890,8678
ORDHS,JUN 2013,130,132,2,308187,312549,4362
ORDHS,NOV 2013,118,122,4,273958,286733,12775
ORDOT,FEB 2013,105,108,3,113747,115981,2234
ORDOT,OCT 2013,143,146,3,211457,215068,3611
ORLEG,FEB 2013,719,724,5,743333,745321,1988
ORLEG,MAR 2013,856,864,8,890067,901080,11013
ORLEG,MAY 2013,701,703,2,751578,755766,4188
ORLEG,OCT 2013,49,51,2,101711,103079,1368
ORTRIMET,APR 2013,73,76,3,418078,446540,28462
SMANDS,JAN 2013,136,139,3,813,826,13
TXDALLAS,NOV 2013,43,45,2,199802,212554,12752
TXGOV,OCT 2013,93,95,2,734384,756128,21744
TXGOV,NOV 2013,86,88,2,812024,831991,19967
TXLOTTERY,JAN 2013,567,579,12,3617185,3687875,70690
TXLOTTERY,FEB 2013,491,501,10,3253027,3304979,51952
TXLOTTERY,MAR 2013,550,562,12,3703320,3776851,73531
TXLOTTERY,MAY 2013,561,571,10,3966171,4021356,55185
TXLOTTERY,JUN 2013,390,400,10,3492057,3548773,56716
TXLOTTERY,AUG 2013,387,397,10,3581804,3717889,136085
TXLOTTERY,SEP 2013,657,669,12,4178110,4287506,109396
TXLOTTERY,OCT 2013,763,779,16,4629182,4711996,82814
TXLOTTERY,NOV 2013,736,752,16,4501866,4585193,83327
TXLOTTERY,DEC 2013,744,762,18,4614273,4767104,152831
UKCBCC,OCT 2013,88,90,2,114369,133742,19373
UKCBCC,DEC 2013,76,78,2,279894,281714,1820
UKGOVUK,MAR 2013,3352,3362,10,11499169,11522093,22924
UKGOVUK,MAY 2013,4299,4314,15,16751213,16826741,75528
UKGOVUK,JUL 2013,3834,3838,4,19607325,19610425,3100
UKGOVUK,AUG 2013,2630,2636,6,11177358,11180902,3544
UKGOVUK,SEP 2013,3468,3470,2,20359785,20362062,2277
UKGOVUK,OCT 2013,3810,3822,12,19270824,19284395,13571
UKGOVUK,NOV 2013,3467,3475,8,16995374,17003351,7977
UKHEREF,FEB 2013,160,162,2,64007,64579,572
UKHIGHWAY,AUG 2013,1518,1520,2,2526557,2534425,7868
UKHIGHWAY,NOV 2013,1413,1415,2,2522783,2530695,7912
UKHMRC,JAN 2013,50,155,105,3633,11842,8209
UKHMRC,FEB 2013,10,24,14,688,1874,1186
UKHMRC,MAR 2013,34,52,18,2539,3990,1451
UKHMRC,MAY 2013,11,25,14,779,1954,1175
UKHMRC,JUN 2013,99,107,8,8166,8817,651
UKHMRC,AUG 2013,51,61,10,4050,4900,850
UKHMRC,NOV 2013,230,310,80,19213,26287,7074
UKMETOFFICE,JUL 2013,273,275,2,4445712,4523140,77428
UKORGRNIB,FEB 2013,112,119,7,21511,22404,893
UKORGRNIB,MAR 2013,159,163,4,28173,29735,1562
UKORGRNIB,NOV 2013,85,88,3,35984,37738,1754
UKSCCTS,JAN 2013,513,523,10,51508,51767,259
UKSCCTS,FEB 2013,425,427,2,32192,32454,262
UKSCCTS,MAR 2013,361,373,12,44653,44921,268
UKSCCTS,MAY 2013,461,463,2,33581,33829,248
UKSCCTS,OCT 2013,547,549,2,61371,61664,293
UKSCCTS,NOV 2013,498,500,2,25985,26277,292
USAEPA,MAR 2013,269,271,2,6135457,6135459,2
USAEPAOECA,OCT 2013,22,24,2,54781,55367,586
USATF,AUG 2013,63,65,2,150221,150227,6
USCENSUS,MAR 2013,250,252,2,1502272,1502274,2
USCFTC,APR 2013,123,125,2,1572657,1576797,4140
USCFTC,JUL 2013,71,75,4,1113500,1123016,9516
USCFTC,AUG 2013,71,77,6,1151708,1166642,14934
USCFTC,SEP 2013,114,118,4,1944924,1955172,10248
USCFTC,OCT 2013,78,87,9,1310381,1399824,89443
USCFTC,NOV 2013,79,83,4,1310328,1321376,11048
USCMS,MAR 2013,158,160,2,5293500,5294177,677
USCMS,OCT 2013,138,140,2,2984027,2986080,2053
USCMSHIM,DEC 2013,118,120,2,3071387,3099777,28390
USDANRCS,JAN 2013,242,258,16,66561,68434,1873
USDANRCS,FEB 2013,269,285,16,107377,110152,2775
USDANRCS,MAR 2013,418,428,10,147692,149300,1608
USDANRCS,AUG 2013,511,513,2,255364,255596,232
USDHSFEMA,FEB 2013,371,377,6,11509734,11856036,346302
USDHSFEMA,OCT 2013,298,304,6,9934723,10239947,305224
USDHSIN,AUG 2013,36,38,2,921260,958742,37482
USDOD,FEB 2013,1080,1082,2,15373157,15427235,54078
USDOD,MAR 2013,1258,1265,7,18189336,18307496,118160
USDOD,MAY 2013,1302,1304,2,21512048,21540008,27960
USDOD,JUN 2013,1202,1208,6,18809997,18894955,84958
USDOD,OCT 2013,867,873,6,15393836,15464101,70265
USDOD,NOV 2013,1163,1171,8,17858035,18045687,187652
USDODAF,MAR 2013,836,838,2,3458166,3463490,5324
USDODAF,AUG 2013,860,869,9,3918826,3945799,26973
USDODAF,OCT 2013,811,816,5,3654532,3667205,12673
USDODAF,NOV 2013,814,820,6,3887018,3924342,37324
USDOJ,FEB 2013,303,305,2,4129614,4160729,31115
USDOJ,MAR 2013,279,281,2,3896433,3932487,36054
USDOJ,MAY 2013,289,291,2,4069195,4105383,36188
USDOJ,OCT 2013,141,143,2,1789769,1803993,14224
USDOJBOPNIC,FEB 2013,22,24,2,116909,125344,8435
USDOJMS,AUG 2013,4,6,2,70291,113716,43425
USDOL,FEB 2013,134,139,5,5984360,6411704,427344
USDOL,MAR 2013,136,141,5,6789801,7216783,426982
USDOL,MAY 2013,172,175,3,10066048,10172096,106048
USDOL,AUG 2013,163,166,3,10686618,10791416,104798
USDOL,DEC 2013,174,176,2,9112630,9256200,143570
USEOPWH,OCT 2013,54,56,2,24479659,28678424,4198765
USEOPWHPO,JAN 2013,630,634,4,3253747,3274867,21120
USEOPWHPO,FEB 2013,752,755,3,3408005,3421322,13317
USEOPWHPO,MAR 2013,1006,1008,2,3996167,4009315,13148
USEOPWHPO,OCT 2013,617,626,9,3180090,3225347,45257
USFSA,APR 2013,2815,2818,3,2790532,2792219,1687
USFSA,OCT 2013,2142,2144,2,3079922,3088692,8770
USFSIS,FEB 2013,104,106,2,2491473,2535765,44292
USFSIS,MAR 2013,99,102,3,2669840,2735366,65526
USFSIS,MAY 2013,112,115,3,3194423,3256391,61968
USFSIS,AUG 2013,93,95,2,2585907,2724287,138380
USFSIS,NOV 2013,92,94,2,2763496,2807853,44357
USGSA,APR 2013,194,196,2,1315908,1344125,28217
USGSA,JUL 2013,165,167,2,1729377,1764156,34779
USGSA,OCT 2013,159,163,4,1337122,1356722,19600
USGSA,NOV 2013,239,249,10,2018746,2065596,46850
USGSAAUCTIONS,FEB 2013,597,611,14,2846850,2912365,65515
USGSAAUCTIONS,MAR 2013,678,690,12,3257950,3314536,56586
USGSAAUCTIONS,MAY 2013,794,804,10,3814389,3860188,45799
USGSAAUCTIONS,JUN 2013,732,743,11,3526696,3575877,49181
USGSAAUCTIONS,AUG 2013,715,732,17,3841406,3925544,84138
USGSAAUCTIONS,SEP 2013,547,549,2,3156890,3168827,11937
USGSAAUCTIONS,OCT 2013,476,489,13,3058659,3134378,75719
USGSAAUCTIONS,NOV 2013,540,552,12,3627092,3710815,83723
USGSAAUCTIONS,DEC 2013,459,463,4,3067494,3100747,33253
USGSAIN,MAY 2013,118,121,3,534451,538555,4104
USGSAIN,JUL 2013,109,112,3,618722,623828,5106
USGSAIN,NOV 2013,111,113,2,555277,556654,1377
USHCR,OCT 2013,20,22,2,116075,137113,21038
USHRC,OCT 2013,307,311,4,601456,607544,6088
USLOC,AUG 2013,252,255,3,3974234,4026712,52478
USMHSDHSS,JUN 2013,93,96,3,185546,194578,9032
USNASA,MAR 2013,164,168,4,31314678,32041718,727040
USNASA,MAY 2013,236,239,3,45030952,45520861,489909
USNASA,JUN 2013,170,175,5,33769228,34623079,853851
USNASA,OCT 2013,88,90,2,16676997,16938157,261160
USNAVYDMA,NOV 2013,558,560,2,4285408,4341214,55806
USNGBNY,MAY 2013,98,100,2,40321,40660,339
USNGBNY,JUN 2013,71,73,2,22996,23343,347
USNWS,JAN 2013,3306,3324,18,11170280,11214577,44297
USNWS,FEB 2013,3817,3831,14,12330378,12356627,26249
USNWS,MAR 2013,4054,4069,15,14258115,14316708,58593
USNWS,APR 2013,4453,4475,22,18425495,18601311,175816
USNWS,MAY 2013,4903,4907,4,24231197,24244665,13468
USNWS,JUN 2013,7214,7252,38,41128848,41481649,352801
USNWS,JUL 2013,7514,7539,25,36299215,36388124,88909
USNWS,AUG 2013,0,31,31,0,183553,183553
USSTATEBPA,JAN 2013,806,810,4,8860210,8900615,40405
USSTATEBPA,FEB 2013,1063,1069,6,12683885,12759343,75458
USSTATEBPA,MAR 2013,1042,1049,7,11869203,11958518,89315
USSTATEBPA,MAY 2013,1267,1269,2,14130701,14152530,21829
USSTATEBPA,OCT 2013,1037,1042,5,12421084,12480486,59402
USSTATEBPA,NOV 2013,1269,1275,6,14832830,14911989,79159
USSTATEBPA,DEC 2013,1106,1109,3,13033990,13062254,28264
USSTATEIIP,FEB 2013,2073,2076,3,3485583,3491560,5977
USSTATEIIP,MAR 2013,2453,2465,12,4163000,4191960,28960
USSTATEIIP,JUN 2013,2497,2501,4,4623474,4624718,1244
USSTATEIIP,SEP 2013,3367,3377,10,6654845,6660720,5875
USSTATEIIP,NOV 2013,2879,2881,2,5271358,5272386,1028
USVHA,JAN 2013,1122,1149,27,2408486,2460740,52254
USVHA,FEB 2013,900,902,2,1928056,1929981,1925
USVHA,APR 2013,1024,1026,2,2063169,2065184,2015
USVHA,MAY 2013,1166,1168,2,2278430,2280467,2037
USVHA,JUN 2013,732,734,2,1964389,1966474,2085
WADOT,JAN 2013,9081,9163,82,5139114,5169236,30122
WADOT,FEB 2013,8004,8083,79,4465730,4518822,53092
WADOT,MAR 2013,5939,6026,87,5421645,5486688,65043
WADOT,APR 2013,3061,3066,5,2978394,2987918,9524
WADOT,MAY 2013,4408,4450,42,3211545,3238309,26764
WADOT,JUN 2013,4288,4330,42,3963464,3986992,23528
WADOT,JUL 2013,4170,4202,32,3937126,3964750,27624
WADOT,AUG 2013,3587,3608,21,3767982,3789691,21709
WADOT,SEP 2013,3624,3632,8,3768789,3779015,10226
WADOT,OCT 2013,2974,3010,36,3181343,3225873,44530
WADOT,NOV 2013,4667,4707,40,5542810,5572834,30024
WADOT,DEC 2013,4616,4662,46,5391645,5422306,30661
WAKING,FEB 2013,389,394,5,415966,424519,8553
WAKING,MAR 2013,430,433,3,463797,470374,6577
WAKING,MAY 2013,426,428,2,658388,690738,32350
WAKING,OCT 2013,512,519,7,687528,698729,11201
WAKIRK,OCT 2013,94,97,3,57601,60680,3079
WAKITSAP,FEB 2013,104,106,2,34022,34233,211
WALEG,FEB 2013,622,630,8,1063697,1077558,13861
WALEG,MAR 2013,437,442,5,724446,730614,6168
WAPT,JAN 2013,95,97,2,44211,44655,444
WAPT,FEB 2013,97,99,2,50579,51036,457
WAPT,MAR 2013,162,167,5,48535,52343,3808
WAPT,NOV 2013,78,80,2,40970,41326,356
WASOUND,MAR 2013,79,83,4,259937,279058,19121
WAVANC,MAR 2013,63,65,2,17934,18688,754
WIDNR,MAY 2013,212,215,3,2744963,2758634,13671
WYDOT,JAN 2013,2364,2367,3,1424874,1426234,1360
WYDOT,FEB 2013,2903,2937,34,1999141,2014803,15662
WYDOT,MAR 2013,2440,2505,65,1633078,1677119,44041
WYDOT,MAY 2013,872,912,40,707393,740758,33365
WYDOT,JUN 2013,577,605,28,430674,452457,21783
WYDOT,JUL 2013,337,340,3,273113,274697,1584
WYDOT,AUG 2013,279,281,2,230994,231642,648
WYDOT,OCT 2013,3236,3252,16,2073698,2085082,11384
WYDOT,NOV 2013,2352,2421,69,1396771,1445678,48907
WYDOT,DEC 2013,3956,3961,5,2478877,2480284,1407
WYETS,APR 2013,67,69,2,20343,20826,483
